time,accX,accY,accZ,pitch,roll,yaw
31.826667,-0.014175,0.005722,-0.988861,-0.000238,-0.091065,0.102585
31.930000,0.058746,-0.018341,-0.985977,-0.049744,-0.159195,-0.052121
32.033333,-0.003754,0.032028,-0.985947,-0.009350,0.159295,0.026193
32.136667,0.028671,0.009979,-0.987976,0.009025,-0.012387,0.118447
32.240000,0.040848,-0.004257,-0.992920,-0.027460,0.066778,0.065820
32.343333,-0.012573,-0.043381,-0.989990,0.012869,-0.004983,0.019116
32.446667,-0.008713,-0.015076,-0.987961,-0.028634,0.109173,0.017608
32.550000,-0.026733,-0.014816,-0.987030,-0.022626,-0.069721,-0.020977
32.653333,0.028824,0.023514,-0.986038,-0.001407,-0.151574,-0.128038
32.756667,-0.081345,-0.003464,-0.992828,-0.010379,-0.085974,0.022906
32.860000,-0.031860,0.007721,-0.988022,-0.017865,-0.052703,0.027747
32.963333,-0.032455,0.007462,-0.986008,0.013610,-0.031167,0.036216
33.066667,-0.024597,-0.007935,-0.988861,0.029563,0.023132,-0.014107
33.170000,0.012070,0.005402,-0.985977,-0.005133,0.003732,-0.040043
33.273333,-0.019989,-0.006683,-0.985947,0.001961,0.008949,0.013212
33.376667,-0.077118,-0.033737,-0.987030,-0.007400,0.030618,0.043435
33.480000,-0.084625,0.036804,-0.987976,0.016574,0.004247,0.150922
33.583333,0.018112,0.005386,-0.991882,-0.025169,-0.005300,0.024500
33.686667,0.018463,0.001831,-0.984024,0.004736,-0.020934,0.001386
33.790000,0.013092,0.004364,-0.996765,0.018123,0.012408,0.001763
33.893333,0.165436,-0.101395,-0.990860,0.002852,-0.109682,-0.086946
33.996667,0.012848,0.004517,-0.989014,0.018081,0.024318,0.003027
34.100000,0.015869,0.003586,-0.989883,-0.000185,-0.009028,0.002623
34.203333,0.013077,0.006363,-0.996780,-0.009850,-0.007882,-0.000891
34.306667,0.015839,0.004562,-0.987961,0.001161,-0.011443,-0.002019
34.410000,0.013992,0.002472,-0.996719,-0.002350,-0.004358,-0.007759
34.513333,0.014694,0.001663,-0.985031,0.001281,-0.005522,-0.006593
34.616667,0.012909,0.001495,-0.994812,0.004526,0.007714,0.008585
34.720000,0.011902,0.004501,-0.990005,-0.007312,-0.011454,-0.004381
34.823333,0.014877,0.003555,-0.990860,-0.005101,0.000527,0.003838
34.926667,0.012833,0.003555,-0.988022,0.001033,-0.004230,0.002672
35.030000,0.013931,0.005508,-0.989945,-0.007726,0.001782,0.010776
35.133333,0.012848,0.003540,-0.988983,0.008525,0.010003,-0.004099
