time,accX,accY,accZ,pitch,roll,yaw
13.400000,0.439986,6.888911,2517.960725,0.040849,0.095509,66530.014694
13.450000,0.440897,6.889081,2527.801914,0.040861,0.095534,66530.014808
13.500000,0.441999,6.889250,2537.642951,0.040874,0.095559,66530.014948
13.550000,0.443305,6.889414,2547.483891,0.040887,0.095595,66530.015089
13.600000,0.444821,6.889571,2557.324630,0.040900,0.095635,66530.015227
13.650000,0.446559,6.889723,2567.164902,0.040915,0.095694,66530.015366
13.700000,0.448518,6.889867,2577.004624,0.040930,0.095788,66530.015529
13.750000,0.450706,6.890006,2586.843837,0.040945,0.095935,66530.015730
13.800000,0.453107,6.890137,2596.682396,0.040960,0.096108,66530.016016
13.850000,0.455763,6.890262,2606.519975,0.040975,0.096330,66530.016376
13.900000,0.458664,6.890381,2616.356424,0.040991,0.096582,66530.016848
13.950000,0.461842,6.890492,2626.191557,0.041007,0.096842,66530.017414
14.000000,0.465296,6.890598,2636.025524,0.041024,0.097134,66530.018081
14.050000,0.469039,6.890697,2645.858220,0.041043,0.097455,66530.018894
14.100000,0.473096,6.890790,2655.689583,0.041063,0.097822,66530.019884
14.150000,0.477456,6.890878,2665.519411,0.041085,0.098232,66530.021065
14.200000,0.482109,6.890961,2675.347559,0.041108,0.098713,66530.022452
14.250000,0.487039,6.891041,2685.173962,0.041134,0.099248,66530.024036
14.300000,0.492258,6.891116,2694.998658,0.041165,0.099807,66530.025762
14.350000,0.497718,6.891188,2704.821800,0.041200,0.100378,66530.027638
14.400000,0.503401,6.891256,2714.643281,0.041242,0.100955,66530.029677
14.450000,0.509287,6.891320,2724.462935,0.041290,0.101536,66530.031895
14.500000,0.515360,6.891380,2734.280779,0.041341,0.102124,66530.034290
14.550000,0.521621,6.891438,2744.096653,0.041397,0.102718,66530.036845
14.600000,0.528055,6.891493,2753.910592,0.041457,0.103318,66530.039571
14.650000,0.534626,6.891548,2763.722510,0.041523,0.103926,66530.042488
14.700000,0.541291,6.891600,2773.532695,0.041596,0.104540,66530.045674
14.750000,0.548023,6.891652,2783.341207,0.041683,0.105152,66530.049133
14.800000,0.554809,6.891701,2793.147794,0.041785,0.105764,66530.052845
14.850000,0.561577,6.891750,2802.952736,0.041899,0.106378,66530.056931
14.900000,0.568305,6.891805,2812.757002,0.042023,0.106990,66530.061424
14.950000,0.574890,6.891868,2822.561022,0.042153,0.107600,66530.066364
